id,estacion,fecha
3,RETIRO,2010-11-04 13:46:00
5,ADUANA,2010-11-04 13:46:00
6,DERECHO,2010-11-20 12:17:00
7,PLAZA ROMA,2010-12-13 21:05:00
8,PLAZA ITALIA,2011-01-03 19:18:00
9,PARQUE LEZAMA,2011-01-03 19:20:00
10,OBELISCO,2011-01-11 23:41:00
15,CONGRESO,2011-01-27 14:59:00
16,PARQUE LAS HERAS,2011-02-10 15:05:00
17,UCA PUERTO MADERO,2011-02-25 18:36:00
18,TRIBUNALES,2011-03-28 13:22:00
19,PLAZA VICENTE LOPEZ,2011-04-27 12:54:00
20,ONCE,2011-05-21 00:37:00
21,PACIFICO,2011-06-06 16:45:00
22,VIRREY CEVALLOS,2011-06-15 16:24:00
23,PLAZA HOUSSAY,2011-06-29 16:26:00
24,PLAZA DE MAYO,2011-08-03 12:29:00
25,PLAZA ALMAGRO,2011-08-30 12:48:00
26,CMD,2011-09-06 11:10:00
27,INDEPENDENCIA,2011-09-16 12:52:00
28,PLAZA SAN MARTIN,2011-09-16 12:54:00
30,DISTRITO AUDIOVISUAL,2012-06-12 15:03:00
32,PARQUE PATRICIOS ,2012-09-28 12:38:00
33,ARENALES,2012-10-23 17:34:00
34,SUIPACHA,2012-11-05 13:51:00
35,ALSINA ,2012-11-12 13:58:00
36,EMMA DE LA BARRA,2012-11-23 12:30:00
37,PLAZA GÜEMES,2012-11-27 10:53:00
38,MONTEVIDEO,2013-06-24 11:32:00
39,PLAZA BOEDO,2013-07-29 08:51:00
40,PLAZA EMILIO MITRE,2013-08-10 15:04:00
41,PARQUE CENTENARIO,2013-09-02 14:39:00
